"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","434","Проверка входа с неверными кредами","SauceDemo SmokeTest","Thu Jul 31 00:43:55 GMT 2025","passed","Thu Jul 31 00:43:55 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","testLoginWithInvalidCredentials"
"Проверка всего процесса покупки: от добавления товара до подтверждения заказа","3404","Оформление и покупка товара с проверками","SauceDemo SmokeTest","Thu Jul 31 00:43:03 GMT 2025","passed","Thu Jul 31 00:43:07 GMT 2025","tests.SauceDemoTest","Thread#2","tests.SauceDemoTest","testCompletePurchaseWithChaining"
"","142","Проверка цены товара в корзине","SauceDemo SmokeTest","Thu Jul 31 00:43:30 GMT 2025","passed","Thu Jul 31 00:43:30 GMT 2025","tests.CartTests","Thread#2","tests.CartTests","testItemPriceInCart"
"Проверка функционала удаления товара из корзины","20232","Проверка удаления товара из корзины","SauceDemo SmokeTest","Thu Jul 31 00:43:33 GMT 2025","passed","Thu Jul 31 00:43:54 GMT 2025","tests.CartTests","Thread#2","tests.CartTests","testRemoveItemFromCart"
"","447","Проверка входа без пароля","SauceDemo SmokeTest","Thu Jul 31 00:43:30 GMT 2025","passed","Thu Jul 31 00:43:31 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","testLoginWithoutPassword"
"Проверка перехода на страницу оформления заказа","197","Проверка перехода к оформлению заказа","SauceDemo SmokeTest","Thu Jul 31 00:43:57 GMT 2025","passed","Thu Jul 31 00:43:58 GMT 2025","tests.CartTests","Thread#2","tests.CartTests","testCheckoutNavigation"
"Проверка успешной авторизации с корректными учетными данными","480","Проверка входа с валидными кредами","SauceDemo SmokeTest","Thu Jul 31 00:43:28 GMT 2025","passed","Thu Jul 31 00:43:29 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","testSuccessfulLogin"
"Проверка что корзина пуста после авторизации","20200","Проверка пустой корзины после входа","SauceDemo SmokeTest","Thu Jul 31 00:43:08 GMT 2025","passed","Thu Jul 31 00:43:28 GMT 2025","tests.CartTests","Thread#2","tests.CartTests","testEmptyCart"
"Проверка возврата на страницу продуктов","190","Проверка кнопки 'Continue Shopping'","SauceDemo SmokeTest","Thu Jul 31 00:43:56 GMT 2025","passed","Thu Jul 31 00:43:56 GMT 2025","tests.CartTests","Thread#2","tests.CartTests","testContinueShopping"
"Проверка корректности добавления товара в корзину","149","Проверка добавления товара в корзину","SauceDemo SmokeTest","Thu Jul 31 00:43:32 GMT 2025","passed","Thu Jul 31 00:43:32 GMT 2025","tests.CartTests","Thread#2","tests.CartTests","testAddItemToCart"
"","440","Проверка входа с неверными кредами","SauceDemo SmokeTest","Thu Jul 31 00:43:54 GMT 2025","passed","Thu Jul 31 00:43:55 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","testLoginWithInvalidCredentials"
"","456","Проверка входа без логина","SauceDemo SmokeTest","Thu Jul 31 00:43:32 GMT 2025","passed","Thu Jul 31 00:43:33 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","testLoginWithoutUsername"
