"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Login Page","0","Authentication","4","0","Negative Login Scenarios","0"
"0","","0","","1","0","","0"
"0","Тесты корзины покупок","0","Основные функции корзины","4","0","Cart Functionality","0"
"0","Тесты корзины покупок","0","Основные функции корзины","1","0","Checkout Process","0"
"0","Login Page","0","Authentication","1","0","","0"
"0","Тесты корзины покупок","0","Основные функции корзины","1","0","Cart Navigation","0"
