"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","231","Проверка цены товара в корзине","SauceDemo SmokeTest","Wed Jul 30 22:58:32 GMT 2025","passed","Wed Jul 30 22:58:32 GMT 2025","tests.CartTests","Thread#2","tests.CartTests","testItemPriceInCart"
"Проверка успешной авторизации с корректными учетными данными","505","Проверка входа с валидными кредами","SauceDemo SmokeTest","Wed Jul 30 22:58:30 GMT 2025","passed","Wed Jul 30 22:58:31 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","testSuccessfulLogin"
"","509","Проверка входа с неверными кредами","SauceDemo SmokeTest","Wed Jul 30 22:58:57 GMT 2025","passed","Wed Jul 30 22:58:57 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","testLoginWithInvalidCredentials"
"Проверка что корзина пуста после авторизации","20260","Проверка пустой корзины после входа","SauceDemo SmokeTest","Wed Jul 30 22:58:10 GMT 2025","passed","Wed Jul 30 22:58:30 GMT 2025","tests.CartTests","Thread#2","tests.CartTests","testEmptyCart"
"","477","Проверка входа без пароля","SauceDemo SmokeTest","Wed Jul 30 22:58:32 GMT 2025","passed","Wed Jul 30 22:58:33 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","testLoginWithoutPassword"
"Проверка возврата на страницу продуктов","227","Проверка кнопки 'Continue Shopping'","SauceDemo SmokeTest","Wed Jul 30 22:58:59 GMT 2025","passed","Wed Jul 30 22:59:00 GMT 2025","tests.CartTests","Thread#2","tests.CartTests","testContinueShopping"
"Проверка перехода на страницу оформления заказа","244","Проверка перехода к оформлению заказа","SauceDemo SmokeTest","Wed Jul 30 22:59:00 GMT 2025","passed","Wed Jul 30 22:59:01 GMT 2025","tests.CartTests","Thread#2","tests.CartTests","testCheckoutNavigation"
"Проверка функционала удаления товара из корзины","20246","Проверка удаления товара из корзины","SauceDemo SmokeTest","Wed Jul 30 22:58:36 GMT 2025","passed","Wed Jul 30 22:58:56 GMT 2025","tests.CartTests","Thread#2","tests.CartTests","testRemoveItemFromCart"
"","468","Проверка входа без логина","SauceDemo SmokeTest","Wed Jul 30 22:58:34 GMT 2025","passed","Wed Jul 30 22:58:35 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","testLoginWithoutUsername"
"Проверка корректности добавления товара в корзину","172","Проверка добавления товара в корзину","SauceDemo SmokeTest","Wed Jul 30 22:58:34 GMT 2025","passed","Wed Jul 30 22:58:34 GMT 2025","tests.CartTests","Thread#2","tests.CartTests","testAddItemToCart"
"","506","Проверка входа с неверными кредами","SauceDemo SmokeTest","Wed Jul 30 22:58:58 GMT 2025","passed","Wed Jul 30 22:58:58 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","testLoginWithInvalidCredentials"
